"latitude","longitude","name"
"7.665968","126.084695","Compostela, Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.665968","126.084695","Compostela, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.7","125.983333","Montevista, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"6.839663","125.429229","Sta. Cruz , Davao del Sur, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.816667","126.05","Monkayo, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.554702","126.140353","New Bataan, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.314629","126.542442","Caraga, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.806543","126.405998","Cateel, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"7.190708","125.455341","Davao City, Philippines"
"8.469115","124.632878","Department of Social Welfare and Development, Cagayan de Oro 9000, Philippines"
"11.25","125","Tacloban City, Philippines"
"14.599512","120.984219","Manila, Philippines"
"14.554729","121.024445","Makati City, Philippines"
"11.25","125","Tacloban City, Philippines"
"11.25","125","Tacloban City, Philippines"
"11.184307","123.746246","Bantayan Island, Philippines"
"14.525145","121.012094","Villamor, Pasay City, Philippines"
"11.816611","122.094154","Aklan, Philippines"
"11.816611","122.094154","Aklan, Philippines"
"10.310348","123.894718","Northern Worx, Cebu City, Philippines"
"11.862168","121.290531","Panagatan Malaki Island, Caluya, Philippines"
"11.963376","121.926505","Palomar, Bulabog, Boracay Island, Malay, Philippines"
"11.322281","123.891354","Batbatan Island, Philippines"
"11.816611","122.094154","Aklan, Philippines"
"14.525145","121.012094","Villamor airbase, Pasay City, Philippines"
"11.963376","121.926505","Boracay Island, Malay, Philippines"
"11.322281","123.891354","Batbatan Island, Philippines"
"12.16897","119.923798","Busuanga, Philippines"
"12.879721","121.774017","Philippines"
"14.599512","120.984219","Manila, Philippines"
"13.139062","123.743799","Legazpi City, Philippines"
"14.696921","121.098293","Palma, Quezon City, Philippines"
"11.165905","122.51836","Old Iloilo-Capiz Road, Panay, Calinog, Philippines"
"11.092083","123.945047","Hagnaya Port, San Remigio, Philippines"
"14.599512","120.984219","Manila, Philippines"
"11.00698","124.612801","Ormoc City, Philippines"
"11.932458","125.038816","Samar Island, Philippines"
"11.184307","123.746246","Bantayan Island, Philippines"
"10.315699","123.885437","Cebu City, Philippines"
"12.879721","121.774017","Philippines"
"14.599512","120.984219","Manila, Philippines"
"10.315699","123.885437","Cebu City, Philippines"
"11.500073","125.499991","Eastern Samar, Philippines"
"14.599512","120.984219","Manila, Philippines"
"10.668751","125.045173","Abuyog, Philippines"
"14.554729","121.024445","Makati City, Philippines"
"8.22347","124.121559","Ozamiz City, Philippines"
"8.46681","124.629509","Acasia-Carmen, CDO"
"8.14576","123.841721","Ozamiz City"
"8.46681","124.629509","Ramiro Compound"
"8.47143","124.649773","Cagayan de Oro, Misamis Oriental"
"8.46709","124.632492","Road to Balulang - Cagayan De oro"
"8.474167","124.643837","Cagayan De Oro"
"8.837555","125.099742","GINGOOG CITY"
"8.45424","124.631897","Cagayan de Oro"
"8.48765","124.639009","Cagayan de Oyo River"
"8.476447","124.628677","Cagayan de Oro"
"8.102738","125.179367","road from Malaybalay to Cagayan de Oro"
"8.459295","124.631971","Cagayan de Oro"
"8.476192","124.640141","Carmen Bridge"
